diseases,symptoms
Urinary incontinence,"Pregnancy,'Sudden onset of strong urge to urinate even though the bladder is not full',need to go to the toilet immediately,urge to urinate that cannot be delayed,frequent urination"
Urinary tract infections,"Redness,swelling,pain during urination,blood in the urine,fever,chills"
Kidney stones,"'Sudden,sharp,stabbing,cramping,undulating pain that may radiate to the back','lateral lower abdomen, groin or genital region',nausea,,vomiting,bowel movements blocked,frequent urination of small amounts,blood in the urine,restlessness,sweating,fever,chills"
Testicular Cancer,"painless induration inside the scrotum,surface of the testicle feels knotty or bumpy,enlargement of one testicle,testicle feels heavy,pulling down to the groin,pain in the testicle,stinging or squeezing in the testicle,back pain,breast growth,chest pain,bone pain,loss of appetite"
Prostate Cancer,"Pain during urination,weakened urinary stream,pain during ejaculation,erection problems,blood in the urine or seminal fluid,pain in the prostate area,problems with bowel movements,back pain,especially in the coccyx or lumbar area"
Cystitis,"'frequent, painful urination of small amounts of urine',cramp-like pain in the bladder,unpleasant smelling urine,cloudy urine,blood in urine,fever"
Prostate Hyperplasia,"Discomfort during urination,weakened urinary stream,nocturnal urge to urinate,nighttime dribbling,residual urinary sensation,clenching during peeing,frequent urge to urinate,interrupted urinary stream,delayed urination,erectile dysfunction"
Polyuria,"increased urine output,increased thirst,dehydration"
Kidney failure,"rapid fatigue,impaired concentration,nausea,less urination,edema in legs,shortness of breath,dizziness,loss of consciousness,thirst,low blood pressure,dry mucous membranes,nausea,vomiting,pain in lower abdomen"
somatoform disorder,"Fatigue,exhaustion,dizziness,general aches and pains,respiratory problems,gastrointestinal problems,cardiovascular disorders,sexual complaints,depression,anxiety disorders"
Essential Hypertonia,"Shortness of breath on movement,chest tightness,palpitations,nausea,blurred vision,nervousness,anxiety,profuse sweating"
bacterial infection,"fever,fatigue,redness,swelling,skin infection,cough,hoarseness,diarrhea,abdominal pain"
Diabetes type 2,"Feeling thirsty,frequent urination,loss of appetite,ravenous appetite,weight gain,fatigue"
Back pain,"Pain in the back"
Obesity,"Overweight,accumulation of fat,not physically able-bodied,joint pain,heavy sweating"
Depression,"despondent,joyless,listless,powerless,no fun"
Gonarthrose,"Knee pain,coordination problems,heating of the joint,pain behind the kneecap"
